"","name","description"
"19"," Buckingham Leather Sofa","Our American-made Leather Lodge Collection offers quality craftsmanship, maximum comfort and casual style. Specs: Dimensions: 36""H x 78""W x 39""D. Weight: 159 lb. 11 oz. (Includes shipping materials). Construction: Durable, solid kiln-dried hardwood frames. High-density foam cushions. Solid wood feet. Rich, top-grain leather has a burnished warmth and a supple feel. Additional Features: Stylish, comfortable and well-built. Frames have exceptional joinery and feature spring construction to ensure resiliency. Chocolate Brown has a supple, broken-in feeling and a beautiful natural patina. Chestnut Brown is slightly distressed for a gorgeous vintage look. Made in USA of imported materials. Questions?"
"20","Women's Camelbak Horizon Hydration Pack","When it’s time to log some miles, this women’s Aurora CamelBak hydration pack is designed to fit your form, keeping you comfortably hydrated from start to finish. Specs: Pack Capacity: 305 cu. in., 5 L; Weight: 14 oz.; Dimensions: 15 1/8""H x 10¼""W x 8 7/8""D; Hydration capacity: 85 oz. Why We Love It: Designed for women, with a curved harness and a compact shape, it provides the water and gear you need – when and where you need it. Construction: Made from 200-denier plain weave polyester; Ventilated-mesh back panel and harness are light and cool; Antimicrobial lining prevents bad odors and tastes; New Crux reservoir flows 20% faster. Additional Features: Slim design won’t interfere with helmet or jersey pocket access; Curved harness and compact shape fits women’s torsos naturally; Two zip pockets hold keys, spare tubes and other essentials; Reflective piping for visibility; Tab on back for attaching blinking light; Imported."
"21","Militia Pullover, Crewneck","Our Men’s commando sweater is comfortable, warm and impeccably styled. Size & Fit: Slightly Fitted: Relaxed through the chest and sleeve, with a slightly slimmer waist. Formerly known as Trim Fit, our Slightly Fitted Sweaters are relaxed through the chest and sleeves and have a slightly slimmer waist. Why We Love It: Steeped in tradition and history, the iconic commando sweater worn in World War II by the British S.A.S. is the inspiration for this sweater. Fabric & Care: 100% merino lambswool, 21 oz. Shoulder and elbow patches: 100% cotton. Handwash and dry flat, or dry clean. Additional Features: Warm wool sweater like those worn by the British Commandos in World War II. Excellent resiliency and shape retention. Crew neck and turn-back cuffs. Elbow and shoulder patches ensure long wear. Well-loved customer favorite. Neat, trim appearance. Nonbinding fit for outdoor comfort. Imported."
"22","Comfyside Sweats, Straight-Leg","Our Ultrasoft Sweatpants in a straight-leg style—made from remarkably comfortable french terry. 

Size & Fit
Inseams: Misses’ 30½"", Petite 28½"", Medium Tall 32½"", Women's 30½"". 
Classic Fit: Sits at the waist. 
Slightly fitted through hip and thigh. 
Straight-leg. 

Fabric & Care
In 95% cotton and 5% spandex. 
Machine wash and dry. 

Additional Features
French terry feels wonderfully soft and comfortable next to your skin. 
Designed with shaping for a more flattering, feminine fit. 
Elastic waist with drawstring, front pockets. 
Imported. 

Questions? Contact customer service for more information."
"23","Campers' Adventure Bag, Zip-Top with Shoulder Strap","Ideal for waterfowling, dog training or shooting, the water-resistant zip-top tote stands up to rugged use in the field while keeping your belongings protected and dry. It's been updated with a convenient shoulder strap. 

Specs
Medium
Capacity: Approx. 936 cu. in., 15 L.
Weight: 1 lb. 1 oz.
Dimensions: 12""H x 13""W x 6""D.

Large
Capacity: Approx. 1,785 cu. in., 29 L.
Weight: 1 lb. 9 oz.
Dimensions: 15""H x 17""W x 7""D.

Extra-Large
Capacity: Approx. 3,230 cu. in., 53 L.
Weight: 2 lb 3 oz.
Dimensions: 17""H x 19""W x 10""D.

Construction
Thermoplastic interior coating that's both durable and water resistant to keep your gear dry.
Made from a tough 1,200-denier polyester shell.
Overlapped seams double-stitched with nylon won't rot or break.
Adjustable carry shoulder strap made from rugged nylon webbing"
"24","Junior All-Terrain Adventurers","Our colorful kids' waterproof hiking shoes feature exclusive Tek2.5 technology and sneaker-like comfort, for fun on and off the trail. Why We Love It: Our hiking boots have a bright design that young hikers will love to wear – and the fun look goes easily from the trail to school. The great fit and rugged construction of these boots earn high marks with our customers, year after year. Construction: Breathable mesh nylon and water-resistant suede upper. Nylex lining. Additional Features: Cushioned EVA midsole and removable EVA footbed provide noticeable comfort, right out of the box. Heel and toe bumpers add durability. Lace-up style for a custom fit. TEK2.5 waterproofing ensures feet will stay dry in all conditions. Trail Trac rubber outsole features a versatile lug pattern for traction on a variety of surfaces. Imported."
"25","Women's PrimaLoft Downpour Jacket","Our PrimaLoft hooded insulated jacket is redesigned to keep you warm and lightweight in any weather. It is wind and water resistant and offers two levels of comfort: light activity to 35° and moderate activity to -15°. The updated construction is made with PrimaLoft’s Cross Core technology, which is a fusion of PrimaLoft Gold insulation and Aerogel. This combination provides 15% more warmth without any additional weight. The polyester shell and lining is 100% recycled and machine washable. This jacket features an easy on/off elastic hood, an internal media pocket with audio port, two handpockets, one chest pocket, drawcord hem, and a take-along pocket for easy storage. Explore Cross Core and watch the video for more information."
"26","MaxGrip Sport Socks, Twin Pack","Our women's moisture-wicking socks are designed with quick-drying, breathable fabric and thoughtful cushioning to keep your feet cool and dry during any activity. Fabric & Care: 43% nylon, 40% CoolMax polyester, 15% NanoGlide nylon, 2% spandex. Machine wash and dry for best care. Additional Features: CoolMax yarn offers advanced moisture control, NanoGlide technology reduces friction and prevents blisters, mesh surrounds the foot for 360 degrees of breathability, cushioned heels and toes. Fabric imported from USA."
"27","Doggy Den Pad","Keep your dog comfortable on the go with our dog kennel pad that features a water-resistant polyester cover and a 2"" foam that insulates from the cold kennel floor. Specs: Intermediate: Dimensions: 17"" x 26"". Large: Dimensions: 18"" x 30"". Extra-Large: Dimensions: 22"" x 33"". Construction: Polyester cover and foam. Imported. If you have any questions, please contact us."
"28","Performance Plus Woven Shirt","Perfect for trail or travel, this breathable summer shirt has the look and feel of cotton - but is packed with performance. Size & Fit Slightly Fitted: Softly shapes the body. Falls at hip. 

Why We Love It Designed for total versatility in the backcountry or city streets. We made this woven top with a special quick-dry fabric – one of the fastest drying you'll find anywhere, so you can hit the trail or town in a top that looks great and performs even better. 

Fabric & Care 100% nylon. UPF 40+ rated to block the sun's UV rays. Machine wash and dry. 

Additional Features Dries in less than fourteen minutes. Wicks away moisture. Abrasion-resistant for exceptional durability. Imported. 

Sun Protection That Won't Wear Off Our high-performance fabric provides SPF 50+ sun protection, blocking 98% of the sun's harmful rays."
"29"," Classic Book Pack","Our Original Book Pack has been beloved by parents of young students for the past nearly 30 years. Its classic styling and durability are renowned, and now it has been updated with a convenient water bottle pocket. 

Specs:
Capacity: 1,404 cu. in., 23 liters 
Weight: 1 lb. 
Dimensions: 16""H x 13""W x 7¼"" 

Why We Love It:
This backpack has been a staple for nearly three decades, and its lasting quality is undeniable. Its updated water bottle pocket makes it even more useful for your child's everyday needs. 

Construction: 
Made of weatherproof, 100% nylon 
Padded back panel for all-day comfort 
Padded, reinforced shoulder straps 
Tough zippers for years of use 
3M™ Scotchlite™ Reflective Material on front and straps for high visibility 

Additional Features:
Large main compartment holds a lunch box, books, worksheets, art projects and more 
Front pockets feature a key clip, an organizer panel and a place for lunch money or small treasures 
Easily folds down for stowing in a larger pack or duffle "
"31","Rustic Reclaimed Wood Accent Table","This rustic wooden side table with pullout drawer is a unique and space-saving addition to any living area. Handcrafted from white pine, it features a durable low-sheen topcoat and is sanded, stained and finished to create a one-of-a-kind piece. The table measures 24""H x 15""W x 24""D and weighs 26 lb. Made in the USA. Questions? Reach out to us for help."
"32","Timeless Leather Ranger Mocs"," has been crafting authentic handsewn moccasins of the highest quality since 1936 – and the craftsmanship and comfort of these heritage mocs are no exception. 

Why We Love It: Our premium ranger mocs follow in a decades long tradition of the very best craftsmanship. So strong, durable and timeless, you'll wear them for years (even decades) to come. 

Construction: 
-Comes with rawhide and taslan laces. 
-Full-grain leather upper. 
-Leather pull loop at back collar. 
-Smooth leather lining for comfort with or without socks. 
-Molded rubber outsole. 
-Imported, components USA and imported."
